1;22846;7224.28;
1_10p_ti;22108;7226;
1_20p_ti;21678;7229.6;
2;23713;7225.87;
2_10p_ti;23233;7227.28;
2_20p_ti;22676;7231.7;
3;22684;7224.18;
3_10p_ti;21777;7225.53;
3_20p_ti;21382;7230.38;
4;24833;7222.83;
4_10p_ti;23610;7225.23;
4_20p_ti;22949;7229.32;
5;20960;7224.24;
5_10p_ti;20877;7226.51;
5_20p_ti;20553;7230.21;
6;22396;7225.91;
6_10p_ti;21795;7226.33;
6_20p_ti;21276;7230.81;
7;23241;7224.24;
7_10p_ti;22645;7226.31;
7_20p_ti;22308;7229.5;
8;23274;7224.78;
8_10p_ti;22558;7226.2;
8_20p_ti;22182;7230.32;
9;22549;7225.64;
9_10p_ti;22015;7226.23;
9_20p_ti;21669;7230.57;
10;22831;7225.25;
10_10p_ti;22249;7226.72;
10_20p_ti;21928;7230.72;
11;23893;7225.49;
11_10p_ti;23063;7226.72;
11_20p_ti;22230;7232.09;
12;24610;7224.4;
12_10p_ti;23969;7225.93;
12_20p_ti;23568;7230.84;
13;23432;7224.48;
13_10p_ti;22585;7226.14;
13_20p_ti;22190;7229.87;
14;23678;7223.24;
14_10p_ti;22737;7224.3;
14_20p_ti;22103;7229.16;
15;22473;7224.35;
15_10p_ti;21838;7226.69;
15_20p_ti;22057;7230.78;
16;23538;7225.33;
16_10p_ti;23035;7226.57;
16_20p_ti;22463;7231.08;
17;24100;7223.76;
17_10p_ti;23311;7225.78;
17_20p_ti;23207;7230.36;
18;21539;7223.38;
18_10p_ti;20785;7226.44;
18_20p_ti;20681;7229.99;
19;24477;7223.49;
19_10p_ti;23899;7226.16;
19_20p_ti;23332;7229.53;
20;23170;7222.49;
20_10p_ti;22499;7225.02;
20_20p_ti;21984;7231.02;
