# INSTANCE: InstancesTDTSP/inst_20_19_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 12970 -1
* 0.01 12547 -1
* 0.01 12048 -1
* 0.01 11997 -1
* 0.02 11853 -1
* 0.07 11831 -1
* 1.71 11707 -1
* 8.92 11635 -1
* 9.43 11588 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11588
# NUMBER OF BRANCHES: 2378992
# END TIME: 52.68
## No TDTSP solution found.
