# INSTANCE: InstancesTDTSP/inst_50_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 24761 -1
* 0.01 24579 -1
* 0.01 24476 -1
* 0.02 24396 -1
* 0.02 24325 -1
* 0.04 24271 -1
* 0.04 24193 -1
* 0.08 24180 -1
* 0.08 24144 -1
* 0.11 23948 -1
* 0.11 23872 -1
* 0.12 23864 -1
* 0.12 23843 -1
* 0.27 23803 -1
* 0.27 23789 -1
* 1.46 23780 -1
* 1.54 23639 -1
* 4.32 23619 -1
* 4.33 23605 -1
* 4.39 23576 -1
* 4.43 23522 -1
* 4.9 23521 -1
* 5.26 23502 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 23502
# NUMBER OF BRANCHES: 314351142
# END TIME: 7200
## No TDTSP solution found.
