# INSTANCE: InstancesTDTSP/inst_20_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 16860 -1
* 0.01 12923 -1
* 0.01 12373 -1
* 0.01 11378 -1
* 0.01 11337 -1
* 0.06 11334 -1
* 0.21 11187 -1
* 1.99 11162 -1
* 3.51 10952 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 10952
# NUMBER OF BRANCHES: 164559
# END TIME: 3.73
## No TDTSP solution found.
