# INSTANCE: InstancesTDTSP/inst_20_9_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 22156 -1
* 0 19973 -1
* 0 14350 -1
* 0.01 13649 -1
* 0.03 13543 -1
* 0.04 13489 -1
* 0.12 13429 -1
* 0.12 13354 -1
* 0.12 13320 -1
* 0.13 13171 -1
* 0.14 13045 -1
* 0.15 12907 -1
* 0.15 12676 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 12676
# NUMBER OF BRANCHES: 883416
# END TIME: 18.38
## No TDTSP solution found.
