# INSTANCE: InstancesTDTSP/inst_20_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 13167 -1
* 0.03 13103 -1
* 0.04 13019 -1
* 0.07 12924 -1
* 0.07 12907 -1
* 0.07 12810 -1
* 0.08 12774 -1
* 0.08 12700 -1
* 2.21 12684 -1
* 2.25 12622 -1
* 2.26 12617 -1
* 2.26 12593 -1
* 2.27 12578 -1
* 2.28 12563 -1
* 2.32 12396 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 12396
# NUMBER OF BRANCHES: 854493
# END TIME: 18.09
## No TDTSP solution found.
