1;17167;3604.66;
1_10p_ti;17067;3605.26;
1_20p_ti;17206;3606.02;
2;15853;3604.56;
2_10p_ti;15672;3605.17;
2_20p_ti;15946;3605.87;
3;17202;3604.78;
3_10p_ti;16953;3605.22;
3_20p_ti;16697;3606.35;
4;15688;3604.71;
4_10p_ti;15636;3605.16;
4_20p_ti;15801;3605.87;
5;15022;3604.58;
5_10p_ti;15086;3605.27;
5_20p_ti;15170;3606.26;
6;17192;3604.52;
6_10p_ti;16949;3605;
6_20p_ti;16925;3605.84;
7;16056;3604.52;
7_10p_ti;16518;3605.25;
7_20p_ti;16243;3606.13;
8;17431;3604.81;
8_10p_ti;17051;3605.35;
8_20p_ti;16790;3605.99;
9;15963;3604.99;
9_10p_ti;15442;3605.55;
9_20p_ti;15739;3606.23;
10;16525;3604.73;
10_10p_ti;17052;3605.11;
10_20p_ti;16423;3605.88;
11;17434;3605.11;
11_10p_ti;17342;3605.41;
11_20p_ti;17096;3606.11;
12;17404;3604.82;
12_10p_ti;16508;3605.14;
12_20p_ti;16356;3605.74;
13;17576;3604.56;
13_10p_ti;17336;3605;
13_20p_ti;17143;3606.04;
14;18595;3604.59;
14_10p_ti;18250;3605.25;
14_20p_ti;17907;3606;
15;17313;3604.94;
15_10p_ti;17438;3605.51;
15_20p_ti;16749;3606.27;
16;14927;3605.41;
16_10p_ti;14893;3605.46;
16_20p_ti;14947;3605.92;
17;17188;3604.56;
17_10p_ti;17124;3605.13;
17_20p_ti;16732;3606;
18;17605;3604.66;
18_10p_ti;17296;3605.22;
18_20p_ti;16616;3605.86;
19;18397;3604.52;
19_10p_ti;17963;3605.44;
19_20p_ti;17684;3606.44;
20;16960;3605.13;
20_10p_ti;17007;3605.47;
20_20p_ti;17380;3606.1;
