# INSTANCE: InstancesTDTSP/inst_100_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.78 48996 -1
* 0.96 48933 -1
* 1.13 48902 -1
* 1.15 48713 -1
* 1.15 48702 -1
* 1.15 48671 -1
* 1.16 48551 -1
* 1.18 48447 -1
* 1.2 48200 -1
* 1.2 48195 -1
* 1.21 46994 -1
* 1.21 46228 -1
* 1.21 46191 -1
* 1.26 46170 -1
* 1.27 46071 -1
* 1.28 45935 -1
* 1.29 45905 -1
* 1.29 45845 -1
* 1.35 45780 -1
* 1.35 45749 -1
* 1.36 45720 -1
* 1.37 45624 -1
* 1.37 45611 -1
* 1.38 45410 -1
* 1.38 45400 -1
* 1.4 45245 -1
* 1.42 44802 -1
* 1.42 44698 -1
* 1.51 44657 -1
* 1.51 44462 -1
* 1.53 44458 -1
* 13.1 44447 -1
* 13.15 44280 -1
* 13.16 44245 -1
* 13.17 44144 -1
* 14.62 44022 -1
* 14.63 43931 -1
* 14.64 43911 -1
* 14.66 43705 -1
* 14.69 43330 -1
* 14.7 43314 -1
* 14.97 43182 -1
* 15.01 43159 -1
* 15.03 43105 -1
* 15.14 43072 -1
* 15.24 43057 -1
* 15.28 43032 -1
* 15.31 43014 -1
* 15.34 42966 -1
* 15.36 42933 -1
* 15.42 42903 -1
* 16.15 42856 -1
* 16.22 42842 -1
* 16.37 42799 -1
* 16.38 42785 -1
* 16.59 42762 -1
* 17.16 42721 -1
* 17.22 42675 -1
* 17.44 42610 -1
* 17.44 42510 -1
* 18.62 42436 -1
* 20.15 42418 -1
* 20.18 42336 -1
* 20.22 42295 -1
* 32.35 42293 -1
* 39.37 42253 -1
* 39.52 42203 -1
* 39.73 42147 -1
* 39.8 42105 -1
* 186.66 42084 -1
* 190.57 42081 -1
* 190.6 42044 -1
* 190.6 42010 -1
* 221.73 41935 -1
* 221.73 41917 -1
* 221.73 41898 -1
* 221.75 41856 -1
* 221.81 41838 -1
* 221.81 41815 -1
* 221.97 41809 -1
* 222.03 41754 -1
* 222.04 41715 -1
* 222.04 41702 -1
* 222.87 41692 -1
* 222.91 41676 -1
* 222.94 41638 -1
* 223 41611 -1
* 223 41575 -1
* 223.03 41563 -1
* 223.04 41493 -1
* 223.05 41486 -1
* 223.08 41480 -1
* 223.11 41465 -1
* 223.17 41448 -1
* 223.22 41405 -1
* 1107.89 41344 -1
* 1107.91 41281 -1
* 1108.08 41270 -1
* 1113.6 41265 -1
* 1113.61 41232 -1
* 1113.61 41225 -1
* 1113.63 41211 -1
* 1709.83 41064 -1
* 1709.83 41054 -1
* 1710.26 41043 -1
* 1710.46 41004 -1
* 1710.48 40995 -1
* 3143.46 40917 -1
* 3143.47 40910 -1
* 3143.55 40895 -1
* 3143.57 40877 -1
* 3143.59 40876 -1
* 3148.1 40875 -1
* 3156.83 40874 -1
* 3156.93 40822 -1
* 3157.27 40819 -1
* 3157.27 40816 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 40816
# NUMBER OF BRANCHES: 244384957
# END TIME: 7200
## No TDTSP solution found.
