# INSTANCE: InstancesTDTSP/inst_30_1_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 18250 -1
* 64.38 18096 -1
* 64.38 17913 -1
* 64.38 17855 -1
* 64.4 17789 -1
* 64.4 17680 -1
* 64.52 17594 -1
* 64.76 17395 -1
* 65.23 17346 -1
* 65.26 17319 -1
* 65.92 17270 -1
* 65.92 17227 -1
* 65.96 17222 -1
* 65.96 17179 -1
* 65.96 17148 -1
* 65.97 17133 -1
* 65.97 17100 -1
* 67.68 17059 -1
* 67.71 17032 -1
* 1470.35 16973 -1
* 1502.62 16960 -1
* 1552.8 16929 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 16929
# NUMBER OF BRANCHES: 85028430
# END TIME: 2534.65
## No TDTSP solution found.
