ILOG_CSV_FORMAT,1.1,,,,,,,,,,

BESTSOFAR|NAMES,modeler,instance,modelParams,lb,lbMethod,lbDate,lbComment,ub,ubMethod,ubDate,ubComment
BESTSOFAR|KEYS,1,1,1,0,0,0,0,0,0,0,0

BESTSOFAR,SemiconductorTesting,i305-306.dat,,0,,,,2028,,,,
BESTSOFAR,SemiconductorTesting,i305-307.dat,,0,,,,2674,,,,
BESTSOFAR,SemiconductorTesting,i305-317.dat,,0,,,,2026,,,,
BESTSOFAR,SemiconductorTesting,i315-302.dat,,0,,,,4398,,,,
BESTSOFAR,SemiconductorTesting,i315-313.dat,,0,,,,2587,,,,
BESTSOFAR,SemiconductorTesting,i315-320.dat,,0,,,,2770,,,,
BESTSOFAR,SemiconductorTesting,i325-304.dat,,0,,,,3185,,,,
BESTSOFAR,SemiconductorTesting,i325-307.dat,,0,,,,2371,,,,
BESTSOFAR,SemiconductorTesting,i325-319.dat,,0,,,,1972,,,,
BESTSOFAR,SemiconductorTesting,i605-306.dat,,0,,,,2654,,,,
BESTSOFAR,SemiconductorTesting,i605-312.dat,,0,,,,4695,,,,
BESTSOFAR,SemiconductorTesting,i605-316.dat,,0,,,,5197,,,,
BESTSOFAR,SemiconductorTesting,i615-308.dat,,0,,,,1942,,,,
BESTSOFAR,SemiconductorTesting,i615-309.dat,,0,,,,4591,,,,
BESTSOFAR,SemiconductorTesting,i615-317.dat,,0,,,,2479,,,,
BESTSOFAR,SemiconductorTesting,i625-301.dat,,0,,,,2712,,,,
BESTSOFAR,SemiconductorTesting,i625-310.dat,,0,,,,1503,,,,
BESTSOFAR,SemiconductorTesting,i625-311.dat,,0,,,,3689,,,,
