DETAILS|NAMES,modeler,instance,modelParams,timeRatio,lbRatio,ubRatio,completionRatio,feasibleRatio,evolution
DETAILS|KEYS,1,1,1,0,0,0,0,0,0
DETAILS,SemiconductorTesting,i305-306.dat,,1,1.03306e-005,1.0143,1,1,9
DETAILS,SemiconductorTesting,i305-307.dat,,1,6.50618e-006,1.05909,1,1,14
DETAILS,SemiconductorTesting,i305-317.dat,,1,2.43309e-005,0.863771,1,1,1
DETAILS,SemiconductorTesting,i315-302.dat,,1,4.45831e-006,1.00955,1,1,8
DETAILS,SemiconductorTesting,i315-313.dat,,1,4.34783e-006,1.00193,1,1,7
DETAILS,SemiconductorTesting,i315-320.dat,,1,7.61035e-006,1.0426,1,1,12
DETAILS,SemiconductorTesting,i325-304.dat,,1,4.67071e-006,0.951334,1,1,3
DETAILS,SemiconductorTesting,i325-307.dat,,1,4.53515e-006,1.0873,1,1,16
DETAILS,SemiconductorTesting,i325-319.dat,,1,4.8216e-006,1.14503,1,1,17
DETAILS,SemiconductorTesting,i605-306.dat,,1,6.65779e-006,1.02261,1,1,10
DETAILS,SemiconductorTesting,i605-312.dat,,1,3.04599e-006,0.937167,1,1,2
DETAILS,SemiconductorTesting,i605-316.dat,,1,8.03213e-006,0.983067,1,1,5
DETAILS,SemiconductorTesting,i615-308.dat,,1,6.00962e-006,1.05355,1,1,13
DETAILS,SemiconductorTesting,i615-309.dat,,1,5.23286e-006,0.954258,1,1,4
DETAILS,SemiconductorTesting,i615-317.dat,,1,8.48896e-006,0.85236,1,1,0
DETAILS,SemiconductorTesting,i625-301.dat,,1,4.78011e-006,0.99115,1,1,6
DETAILS,SemiconductorTesting,i625-310.dat,,1,7.47384e-006,1.08184,1,1,15
DETAILS,SemiconductorTesting,i625-311.dat,,1,4.31034e-006,1.02602,1,1,11

MODELS|NAMES,modeler,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
MODELS|KEYS,1,0,0,0,0,0,0,0,0,0,0,0,0
MODELS,SemiconductorTesting,1,0,0,6.16394e-006,0,18,1.00161,11,7,11,0,7

GLOBAL|NAMES,avgTimeRatio,nbQuicker,nbSlower,avgLBRatio,nbLBBetter,nbLBWorse,avgUBratio,nbUBBetter,nbUBWorse,nbEvolutionBetter,nbEvolutionEquals,nbEvolutionWorse
GLOBAL|KEYS,0,0,0,0,0,0,0,0,0,0,0,0
GLOBAL,1,0,0,6.16394e-006,0,18,1.00161,11,7,11,0,7
